prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 5, 4, 6, 83.0, 60.0, 54.5, 9.5, 57.1, 16.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 7, 5, 4, 77.4, 44.4, 36.4, 11.9, 40.0, 17.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 3, 4, 8, 86.8, 66.7, 72.7, 9.5, 69.6, 16.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 6, 3, 5, 83.0, 62.5, 45.5, 7.1, 52.6, 12.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 5, 7, 6, 77.4, 46.2, 54.5, 16.7, 50.0, 25.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 5, 2, 6, 86.8, 75.0, 54.5, 4.8, 63.2, 8.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 8, 7, 3, 71.7, 30.0, 27.3, 16.7, 28.6, 20.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 6, 6, 5, 77.4, 45.5, 45.5, 14.3, 45.5, 21.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 4, 8, 7, 77.4, 46.7, 63.6, 19.0, 53.8, 29.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 5, 2, 6, 86.8, 75.0, 54.5, 4.8, 63.2, 8.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 5, 8, 6, 75.5, 42.9, 54.5, 19.0, 48.0, 28.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 6, 7, 5, 75.5, 41.7, 45.5, 16.7, 43.5, 24.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 6, 79.2, 50.0, 54.5, 14.3, 52.2, 22.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 6, 7, 5, 75.5, 41.7, 45.5, 16.7, 43.5, 24.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 7, 9, 4, 69.8, 30.8, 36.4, 21.4, 33.3, 27.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 6, 2, 5, 84.9, 71.4, 45.5, 4.8, 55.6, 8.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 7, 5, 4, 77.4, 44.4, 36.4, 11.9, 40.0, 17.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 5, 6, 6, 79.2, 50.0, 54.5, 14.3, 52.2, 22.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 7, 84.9, 63.6, 63.6, 9.5, 63.6, 16.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 7, 84.9, 63.6, 63.6, 9.5, 63.6, 16.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 5, 9, 6, 73.6, 40.0, 54.5, 21.4, 46.2, 30.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 6, 10, 5, 69.8, 33.3, 45.5, 23.8, 38.5, 31.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 6, 5, 5, 79.2, 50.0, 45.5, 11.9, 47.6, 18.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 7, 4, 4, 79.2, 50.0, 36.4, 9.5, 42.1, 15.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 6, 10, 5, 69.8, 33.3, 45.5, 23.8, 38.5, 31.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 4, 3, 7, 86.8, 70.0, 63.6, 7.1, 66.7, 12.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 6, 5, 5, 79.2, 50.0, 45.5, 11.9, 47.6, 18.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 5, 3, 6, 84.9, 66.7, 54.5, 7.1, 60.0, 12.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 7, 7, 4, 73.6, 36.4, 36.4, 16.7, 36.4, 22.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 38, 4, 4, 7, 84.9, 63.6, 63.6, 9.5, 63.6, 16.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 5, 5, 6, 81.1, 54.5, 54.5, 11.9, 54.5, 19.5
