prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 10, 0, 1, 81.1, 100.0, 9.1, 0.0, 16.7, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 10, 2, 1, 77.4, 33.3, 9.1, 4.8, 14.3, 6.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 10, 0, 1, 81.1, 100.0, 9.1, 0.0, 16.7, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 9, 0, 2, 83.0, 100.0, 18.2, 0.0, 30.8, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 10, 1, 1, 79.2, 50.0, 9.1, 2.4, 15.4, 3.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 10, 0, 1, 81.1, 100.0, 9.1, 0.0, 16.7, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 10, 0, 1, 81.1, 100.0, 9.1, 0.0, 16.7, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 7, 1, 4, 84.9, 80.0, 36.4, 2.4, 50.0, 4.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 10, 0, 1, 81.1, 100.0, 9.1, 0.0, 16.7, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 9, 2, 2, 79.2, 50.0, 18.2, 4.8, 26.7, 7.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 9, 0, 2, 83.0, 100.0, 18.2, 0.0, 30.8, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 11, 0, 0, 79.2, 0.0, 0.0, 0.0, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 6, 1, 5, 86.8, 83.3, 45.5, 2.4, 58.8, 4.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 10, 0, 1, 81.1, 100.0, 9.1, 0.0, 16.7, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 8, 1, 3, 83.0, 75.0, 27.3, 2.4, 40.0, 4.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 6, 0, 5, 88.7, 100.0, 45.5, 0.0, 62.5, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 9, 3, 2, 77.4, 40.0, 18.2, 7.1, 25.0, 10.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 9, 0, 2, 83.0, 100.0, 18.2, 0.0, 30.8, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 8, 0, 3, 84.9, 100.0, 27.3, 0.0, 42.9, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 6, 1, 5, 86.8, 83.3, 45.5, 2.4, 58.8, 4.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 39, 8, 3, 3, 79.2, 50.0, 27.3, 7.1, 35.3, 11.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 8, 1, 3, 83.0, 75.0, 27.3, 2.4, 40.0, 4.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 9, 1, 2, 81.1, 66.7, 18.2, 2.4, 28.6, 4.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 11, 0, 0, 79.2, 0.0, 0.0, 0.0, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 8, 0, 3, 84.9, 100.0, 27.3, 0.0, 42.9, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 6, 1, 5, 86.8, 83.3, 45.5, 2.4, 58.8, 4.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 10, 1, 1, 79.2, 50.0, 9.1, 2.4, 15.4, 3.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 8, 0, 3, 84.9, 100.0, 27.3, 0.0, 42.9, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 11, 0, 0, 79.2, 0.0, 0.0, 0.0, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 9, 0, 2, 83.0, 100.0, 18.2, 0.0, 30.8, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 8, 2, 3, 81.1, 60.0, 27.3, 4.8, 37.5, 8.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 41, 9, 1, 2, 81.1, 66.7, 18.2, 2.4, 28.6, 4.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 8, 0, 3, 84.9, 100.0, 27.3, 0.0, 42.9, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 11, 0, 0, 79.2, 0.0, 0.0, 0.0, 0.0, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 9, 0, 2, 83.0, 100.0, 18.2, 0.0, 30.8, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 10, 0, 1, 81.1, 100.0, 9.1, 0.0, 16.7, 0.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 40, 8, 2, 3, 81.1, 60.0, 27.3, 4.8, 37.5, 8.1
