prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 5, 3, 0, 84.0, 0.0, 0.0, 6.7, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 4, 1, 1, 90.0, 50.0, 20.0, 2.2, 28.6, 4.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 4, 1, 1, 90.0, 50.0, 20.0, 2.2, 28.6, 4.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 5, 1, 0, 88.0, 0.0, 0.0, 2.2, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 3, 2, 2, 90.0, 50.0, 40.0, 4.4, 44.4, 8.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 4, 1, 1, 90.0, 50.0, 20.0, 2.2, 28.6, 4.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 4, 3, 1, 86.0, 25.0, 20.0, 6.7, 22.2, 10.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 5, 3, 0, 84.0, 0.0, 0.0, 6.7, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 4, 1, 1, 90.0, 50.0, 20.0, 2.2, 28.6, 4.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 45, 3, 0, 2, 94.0, 100.0, 40.0, 0.0, 57.1, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 5, 2, 0, 86.0, 0.0, 0.0, 4.4, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 4, 1, 1, 90.0, 50.0, 20.0, 2.2, 28.6, 4.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 4, 1, 1, 90.0, 50.0, 20.0, 2.2, 28.6, 4.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 4, 3, 1, 86.0, 25.0, 20.0, 6.7, 22.2, 10.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 3, 2, 2, 90.0, 50.0, 40.0, 4.4, 44.4, 8.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 2, 1, 3, 94.0, 75.0, 60.0, 2.2, 66.7, 4.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 3, 2, 2, 90.0, 50.0, 40.0, 4.4, 44.4, 8.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 3, 3, 2, 88.0, 40.0, 40.0, 6.7, 40.0, 11.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 5, 3, 0, 84.0, 0.0, 0.0, 6.7, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 3, 1, 2, 92.0, 66.7, 40.0, 2.2, 50.0, 4.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 3, 1, 2, 92.0, 66.7, 40.0, 2.2, 50.0, 4.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 3, 1, 2, 92.0, 66.7, 40.0, 2.2, 50.0, 4.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 45, 3, 0, 2, 94.0, 100.0, 40.0, 0.0, 57.1, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 5, 1, 0, 88.0, 0.0, 0.0, 2.2, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 4, 1, 1, 90.0, 50.0, 20.0, 2.2, 28.6, 4.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 5, 2, 0, 86.0, 0.0, 0.0, 4.4, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 4, 1, 1, 90.0, 50.0, 20.0, 2.2, 28.6, 4.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 42, 4, 3, 1, 86.0, 25.0, 20.0, 6.7, 22.2, 10.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 45, 3, 0, 2, 94.0, 100.0, 40.0, 0.0, 57.1, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 3, 1, 2, 92.0, 66.7, 40.0, 2.2, 50.0, 4.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 4, 1, 1, 90.0, 50.0, 20.0, 2.2, 28.6, 4.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 3, 1, 2, 92.0, 66.7, 40.0, 2.2, 50.0, 4.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 2, 1, 3, 94.0, 75.0, 60.0, 2.2, 66.7, 4.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 45, 3, 0, 2, 94.0, 100.0, 40.0, 0.0, 57.1, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 4, 1, 1, 90.0, 50.0, 20.0, 2.2, 28.6, 4.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 4, 2, 1, 88.0, 33.3, 20.0, 4.4, 25.0, 7.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 5, 2, 0, 86.0, 0.0, 0.0, 4.4, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 43, 5, 2, 0, 86.0, 0.0, 0.0, 4.4, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 44, 3, 1, 2, 92.0, 66.7, 40.0, 2.2, 50.0, 4.2
