prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 9, 4, 78.7, 30.8, 80.0, 21.4, 44.4, 33.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 1, 6, 4, 85.1, 40.0, 80.0, 14.3, 53.3, 24.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 8, 3, 78.7, 27.3, 60.0, 19.0, 37.5, 28.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 10, 2, 72.3, 16.7, 40.0, 23.8, 23.5, 29.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 9, 3, 76.6, 25.0, 60.0, 21.4, 35.3, 31.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 0, 7, 5, 85.1, 41.7, 100.0, 16.7, 58.8, 28.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 9, 4, 78.7, 30.8, 80.0, 21.4, 44.4, 33.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 3, 8, 2, 76.6, 20.0, 40.0, 19.0, 26.7, 25.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 4, 11, 1, 68.1, 8.3, 20.0, 26.2, 11.8, 22.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 9, 4, 78.7, 30.8, 80.0, 21.4, 44.4, 33.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 1, 7, 4, 83.0, 36.4, 80.0, 16.7, 50.0, 27.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 3, 9, 2, 74.5, 18.2, 40.0, 21.4, 25.0, 27.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 3, 8, 2, 76.6, 20.0, 40.0, 19.0, 26.7, 25.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 9, 3, 76.6, 25.0, 60.0, 21.4, 35.3, 31.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 3, 8, 2, 76.6, 20.0, 40.0, 19.0, 26.7, 25.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 9, 3, 76.6, 25.0, 60.0, 21.4, 35.3, 31.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 9, 4, 78.7, 30.8, 80.0, 21.4, 44.4, 33.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 10, 2, 72.3, 16.7, 40.0, 23.8, 23.5, 29.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 3, 8, 2, 76.6, 20.0, 40.0, 19.0, 26.7, 25.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 1, 6, 4, 85.1, 40.0, 80.0, 14.3, 53.3, 24.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 10, 2, 72.3, 16.7, 40.0, 23.8, 23.5, 29.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 1, 8, 4, 80.9, 33.3, 80.0, 19.0, 47.1, 30.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 0, 8, 5, 83.0, 38.5, 100.0, 19.0, 55.6, 32.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 10, 2, 72.3, 16.7, 40.0, 23.8, 23.5, 29.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 10, 3, 74.5, 23.1, 60.0, 23.8, 33.3, 34.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 8, 3, 78.7, 27.3, 60.0, 19.0, 37.5, 28.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 1, 7, 4, 83.0, 36.4, 80.0, 16.7, 50.0, 27.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 1, 8, 4, 80.9, 33.3, 80.0, 19.0, 47.1, 30.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 0, 6, 5, 87.2, 45.5, 100.0, 14.3, 62.5, 25.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 2, 7, 3, 80.9, 30.0, 60.0, 16.7, 40.0, 26.1
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 30, 5, 12, 0, 63.8, 0.0, 0.0, 28.6, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 1, 8, 4, 80.9, 33.3, 80.0, 19.0, 47.1, 30.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 9, 4, 78.7, 30.8, 80.0, 21.4, 44.4, 33.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 1, 7, 4, 83.0, 36.4, 80.0, 16.7, 50.0, 27.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 8, 3, 78.7, 27.3, 60.0, 19.0, 37.5, 28.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 9, 3, 76.6, 25.0, 60.0, 21.4, 35.3, 31.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 2, 11, 3, 72.3, 21.4, 60.0, 26.2, 31.6, 36.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 8, 3, 78.7, 27.3, 60.0, 19.0, 37.5, 28.9
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 3, 7, 2, 78.7, 22.2, 40.0, 16.7, 28.6, 23.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 1, 8, 4, 80.9, 33.3, 80.0, 19.0, 47.1, 30.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 37, 1, 5, 4, 87.2, 44.4, 80.0, 11.9, 57.1, 20.7
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 9, 3, 76.6, 25.0, 60.0, 21.4, 35.3, 31.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 4, 10, 1, 70.2, 9.1, 20.0, 23.8, 12.5, 21.7
