prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 4, 4, 0, 81.0, 0.0, 0.0, 10.5, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 6, 1, 78.6, 14.3, 25.0, 15.8, 18.2, 19.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 3, 5, 1, 81.0, 16.7, 25.0, 13.2, 20.0, 17.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 5, 2, 83.3, 28.6, 50.0, 13.2, 36.4, 20.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 29, 4, 9, 0, 69.0, 0.0, 0.0, 23.7, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 6, 2, 81.0, 25.0, 50.0, 15.8, 33.3, 24.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 5, 2, 83.3, 28.6, 50.0, 13.2, 36.4, 20.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 4, 2, 85.7, 33.3, 50.0, 10.5, 40.0, 17.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 4, 7, 0, 73.8, 0.0, 0.0, 18.4, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 6, 2, 81.0, 25.0, 50.0, 15.8, 33.3, 24.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 4, 6, 0, 76.2, 0.0, 0.0, 15.8, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 36, 2, 2, 2, 90.5, 50.0, 50.0, 5.3, 50.0, 9.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 5, 2, 83.3, 28.6, 50.0, 13.2, 36.4, 20.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 1, 3, 3, 90.5, 50.0, 75.0, 7.9, 60.0, 14.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 2, 3, 2, 88.1, 40.0, 50.0, 7.9, 44.4, 13.6
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 4, 7, 0, 73.8, 0.0, 0.0, 18.4, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 4, 5, 0, 78.6, 0.0, 0.0, 13.2, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 35, 1, 3, 3, 90.5, 50.0, 75.0, 7.9, 60.0, 14.3
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 2, 5, 2, 83.3, 28.6, 50.0, 13.2, 36.4, 20.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 3, 4, 1, 83.3, 20.0, 25.0, 10.5, 22.2, 14.8
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 4, 2, 85.7, 33.3, 50.0, 10.5, 40.0, 17.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 5, 3, 85.7, 37.5, 75.0, 13.2, 50.0, 22.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 1, 4, 3, 88.1, 42.9, 75.0, 10.5, 54.5, 18.5
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 6, 1, 78.6, 14.3, 25.0, 15.8, 18.2, 19.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 6, 1, 78.6, 14.3, 25.0, 15.8, 18.2, 19.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 3, 7, 1, 76.2, 12.5, 25.0, 18.4, 16.7, 21.2
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 3, 6, 1, 78.6, 14.3, 25.0, 15.8, 18.2, 19.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 6, 2, 81.0, 25.0, 50.0, 15.8, 33.3, 24.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 34, 2, 4, 2, 85.7, 33.3, 50.0, 10.5, 40.0, 17.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 5, 3, 85.7, 37.5, 75.0, 13.2, 50.0, 22.4
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 31, 4, 7, 0, 73.8, 0.0, 0.0, 18.4, 0.0, 0.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 32, 2, 6, 2, 81.0, 25.0, 50.0, 15.8, 33.3, 24.0
identity, nil, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 33, 1, 5, 3, 85.7, 37.5, 75.0, 13.2, 50.0, 22.4
