prep, row-reducer, discretizer, cluster, fss, classify, class, a, b, c, d, acc, prec, pd, pf, f, g
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 91, 6, 13, 2, 83.0, 13.3, 25.0, 12.5, 17.4, 16.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 82, 4, 22, 4, 76.8, 15.4, 50.0, 21.2, 23.5, 29.7
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 3, 11, 5, 87.5, 31.3, 62.5, 10.6, 41.7, 18.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 91, 5, 13, 3, 83.9, 18.8, 37.5, 12.5, 25.0, 18.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 91, 5, 13, 3, 83.9, 18.8, 37.5, 12.5, 25.0, 18.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 4, 11, 4, 86.6, 26.7, 50.0, 10.6, 34.8, 17.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 88, 7, 16, 1, 79.5, 5.9, 12.5, 15.4, 8.0, 13.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 6, 10, 2, 85.7, 16.7, 25.0, 9.6, 20.0, 13.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 6, 11, 2, 84.8, 15.4, 25.0, 10.6, 19.0, 14.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 5, 9, 3, 87.5, 25.0, 37.5, 8.7, 30.0, 14.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 6, 11, 2, 84.8, 15.4, 25.0, 10.6, 19.0, 14.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 5, 9, 3, 87.5, 25.0, 37.5, 8.7, 30.0, 14.1
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 90, 6, 14, 2, 82.1, 12.5, 25.0, 13.5, 16.7, 17.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 6, 12, 2, 83.9, 14.3, 25.0, 11.5, 18.2, 15.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 7, 12, 1, 83.0, 7.7, 12.5, 11.5, 9.5, 12.0
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 89, 4, 15, 4, 83.0, 21.1, 50.0, 14.4, 29.6, 22.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 87, 7, 17, 1, 78.6, 5.6, 12.5, 16.3, 7.7, 14.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 90, 6, 14, 2, 82.1, 12.5, 25.0, 13.5, 16.7, 17.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 91, 7, 13, 1, 82.1, 7.1, 12.5, 12.5, 9.1, 12.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 5, 12, 3, 84.8, 20.0, 37.5, 11.5, 26.1, 17.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 5, 11, 3, 85.7, 21.4, 37.5, 10.6, 27.3, 16.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 6, 10, 2, 85.7, 16.7, 25.0, 9.6, 20.0, 13.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 4, 11, 4, 86.6, 26.7, 50.0, 10.6, 34.8, 17.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 6, 9, 2, 86.6, 18.2, 25.0, 8.7, 21.1, 12.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 4, 11, 4, 86.6, 26.7, 50.0, 10.6, 34.8, 17.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 90, 5, 14, 3, 83.0, 17.6, 37.5, 13.5, 24.0, 19.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 97, 6, 7, 2, 88.4, 22.2, 25.0, 6.7, 23.5, 10.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 5, 12, 3, 84.8, 20.0, 37.5, 11.5, 26.1, 17.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 94, 5, 10, 3, 86.6, 23.1, 37.5, 9.6, 28.6, 15.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 89, 6, 15, 2, 81.3, 11.8, 25.0, 14.4, 16.0, 18.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 6, 11, 2, 84.8, 15.4, 25.0, 10.6, 19.0, 14.9
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 93, 4, 11, 4, 86.6, 26.7, 50.0, 10.6, 34.8, 17.5
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 96, 4, 8, 4, 89.3, 33.3, 50.0, 7.7, 40.0, 13.3
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 92, 5, 12, 3, 84.8, 20.0, 37.5, 11.5, 26.1, 17.6
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 90, 4, 14, 4, 83.9, 22.2, 50.0, 13.5, 30.8, 21.2
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 95, 4, 9, 4, 88.4, 30.8, 50.0, 8.7, 38.1, 14.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 88, 7, 16, 1, 79.5, 5.9, 12.5, 15.4, 8.0, 13.8
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 89, 7, 15, 1, 80.4, 6.3, 12.5, 14.4, 8.3, 13.4
identity, burak-filter, 10bins-eq-freq, default-clusterer, identity, nb-classify, true, 86, 6, 18, 2, 78.6, 10.0, 25.0, 17.3, 14.3, 20.5
