numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 3, 1, 2, 84.6, 66.7, 40.0, 4.8, 50.0, 8.5
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 5, 0, 0, 81.5, 0.0, 0.0, 0.0, 0.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 0, 0, 5, 100.0, 100.0, 100.0, 0.0, 100.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 4, 1, 1, 81.5, 50.0, 20.0, 4.5, 28.6, 7.4
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 2, 1, 3, 88.5, 75.0, 60.0, 4.8, 66.7, 8.8
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 5, 0, 0, 81.5, 0.0, 0.0, 0.0, 0.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 19, 2, 3, 3, 81.5, 50.0, 60.0, 13.6, 54.5, 22.2
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 2, 2, 3, 85.2, 60.0, 60.0, 9.1, 60.0, 15.8
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 4, 1, 1, 80.8, 50.0, 20.0, 4.8, 28.6, 7.7
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 3, 1, 2, 85.2, 66.7, 40.0, 4.5, 50.0, 8.2
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 2, 1, 3, 88.9, 75.0, 60.0, 4.5, 66.7, 8.5
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 2, 1, 3, 88.9, 75.0, 60.0, 4.5, 66.7, 8.5
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 19, 4, 2, 1, 76.9, 33.3, 20.0, 9.5, 25.0, 12.9
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 3, 1, 2, 85.2, 66.7, 40.0, 4.5, 50.0, 8.2
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 3, 2, 2, 81.5, 50.0, 40.0, 9.1, 44.4, 14.8
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 1, 2, 4, 88.9, 66.7, 80.0, 9.1, 72.7, 16.3
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 4, 1, 1, 80.8, 50.0, 20.0, 4.8, 28.6, 7.7
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 2, 0, 3, 92.6, 100.0, 60.0, 0.0, 75.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 4, 1, 1, 81.5, 50.0, 20.0, 4.5, 28.6, 7.4
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 2, 1, 3, 88.9, 75.0, 60.0, 4.5, 66.7, 8.5
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 19, 3, 2, 2, 80.8, 50.0, 40.0, 9.5, 44.4, 15.4
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 1, 1, 4, 92.6, 80.0, 80.0, 4.5, 80.0, 8.6
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 18, 5, 4, 0, 66.7, 0.0, 0.0, 18.2, 0.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 4, 2, 1, 77.8, 33.3, 20.0, 9.1, 25.0, 12.5
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 18, 1, 3, 4, 84.6, 57.1, 80.0, 14.3, 66.7, 24.2
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 2, 2, 3, 85.2, 60.0, 60.0, 9.1, 60.0, 15.8
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 4, 0, 1, 85.2, 100.0, 20.0, 0.0, 33.3, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 3, 1, 2, 85.2, 66.7, 40.0, 4.5, 50.0, 8.2
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 2, 0, 3, 92.3, 100.0, 60.0, 0.0, 75.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 4, 0, 1, 85.2, 100.0, 20.0, 0.0, 33.3, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 5, 0, 0, 81.5, 0.0, 0.0, 0.0, 0.0, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 2, 1, 3, 88.9, 75.0, 60.0, 4.5, 66.7, 8.5
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 3, 1, 2, 84.6, 66.7, 40.0, 4.8, 50.0, 8.5
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 21, 4, 1, 1, 81.5, 50.0, 20.0, 4.5, 28.6, 7.4
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 1, 2, 4, 88.9, 66.7, 80.0, 9.1, 72.7, 16.3
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 22, 3, 0, 2, 88.9, 100.0, 40.0, 0.0, 57.1, 0.0
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 4, 1, 1, 80.8, 50.0, 20.0, 4.8, 28.6, 7.7
numeric-preprocessor, burak-filter, identity, default-clusterer, identity, nb-log, true, 20, 3, 2, 2, 81.5, 50.0, 40.0, 9.1, 44.4, 14.8
